Neighborhood,AvgSalePrice,AvgGrLivArea,AvgLotArea,AvgTotalBsmtSF,Cluster
Blmngtn,194870.88235294117,1427.9411764705883,3398.176470588235,1324.4117647058824,0
Blueste,137500.0,1392.5,1625.0,638.5,1
BrDale,104493.75,1143.1875,1801.0,583.875,1
BrkSide,124834.05172413793,1203.0689655172414,7360.413793103448,765.4137931034483,1
ClearCr,212565.42857142858,1788.107142857143,30875.75,1226.357142857143,0
CollgCr,197965.77333333335,1480.5,9619.146666666667,1157.5866666666666,0
Crawfor,210624.72549019608,1791.6078431372548,11809.686274509804,1032.9019607843138,0
Edwards,128219.7,1340.04,10218.65,899.82,1
Gilbert,192854.50632911394,1641.3164556962026,11379.151898734177,869.0253164556962,0
IDOTRR,100123.78378378379,1142.2972972972973,8109.1621621621625,746.8378378378378,1
MeadowV,98576.4705882353,1058.9411764705883,2324.0,653.3529411764706,1
Mitchel,156270.1224489796,1294.204081632653,11624.285714285714,1094.734693877551,1
NAmes,145847.08,1310.3111111111111,10139.915555555555,1026.168888888889,1
NPkVill,142694.44444444444,1253.0,3267.4444444444443,933.1111111111111,1
NWAmes,189050.0684931507,1727.7808219178082,11833.630136986301,1153.835616438356,0
NoRidge,335295.31707317074,2508.8536585365855,14218.90243902439,1493.7560975609756,3
NridgHt,316270.6233766234,1915.948051948052,10887.948051948051,1602.8311688311687,2
OldTown,128225.30088495575,1479.725663716814,8207.061946902655,810.2300884955753,1
SWISU,142591.36,1801.24,8127.56,847.08,0
Sawyer,136793.13513513515,1215.1351351351352,10459.283783783783,967.4324324324324,1
SawyerW,186555.7966101695,1595.0169491525423,9923.796610169491,1027.5254237288136,0
Somerst,225379.83720930232,1596.6511627906978,7840.872093023256,1133.046511627907,0
StoneBr,310499.0,1879.08,10671.92,1523.0,2
Timber,242247.44736842104,1749.3684210526317,23664.236842105263,1354.5263157894738,0
Veenker,238772.72727272726,1539.6363636363637,15606.0,1321.2727272727273,0
